ISO3,CountryName,wat_10,wat_11,wat_12,wat_13,wat_14,wat_15,wat_16,wat_17,wat_18,san_10,san_11,san_12,san_13,san_14,san_15,san_16,san_17,san_18,chmort_10,chmort_11,chmort_12,chmort_13,chmort_14,chmort_15,chmort_16,chmort_17,chmort_18,mortality_10,mortality_11,mortality_12,mortality_13,mortality_14,mortality_15,mortality_16,mortality_17,mortality_18,CHI_v2018_10,CHI_v2018_11,CHI_v2018_12,CHI_v2018_13,CHI_v2018_14,CHI_v2018_15,CHI_v2018_16,CHI_v2018_17,CHI_v2018_18
ABW,Aruba,97.31,97.59,97.87,97.87,97.87,97.87,97.87,97.87,97.87,97.67,97.61,97.54,97.54,97.54,97.54,97.54,97.54,97.54,2.53,2.48,2.44,2.41,2.39,2.37,2.36,2.34,2.34,96.32,96.26,96.18,96.08,95.97,95.89,95.83,95.77,95.77,97.10,97.15,97.20,97.16,97.13,97.10,97.08,97.06,97.06
AFG,Afghanistan,50.05,52.62,55.20,57.79,60.38,62.98,62.98,62.98,62.98,33.56,34.67,35.79,36.93,38.07,39.22,39.22,39.22,39.22,16.65,15.39,14.65,14.42,14.64,15.13,15.70,16.14,16.14,75.80,76.83,77.10,76.58,75.31,73.80,72.23,70.90,70.90,53.14,54.71,56.03,57.10,57.92,58.67,58.14,57.70,57.70
AGO,Angola,40.06,40.26,40.46,40.65,40.83,41.01,41.01,41.01,41.01,33.06,34.34,35.61,36.89,38.16,39.43,39.43,39.43,39.43,44.93,41.94,39.46,37.46,35.88,34.67,33.71,32.90,32.90,34.71,36.85,38.32,39.17,39.46,39.99,40.39,40.68,40.68,35.94,37.15,38.13,38.90,39.48,40.14,40.27,40.37,40.37
AIA,Anguilla,96.94,97.37,97.79,98.22,98.22,98.22,98.22,98.22,98.22,95.26,95.81,96.36,96.92,96.92,96.92,96.92,96.92,96.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALB,Albania,88.09,88.11,88.24,89.84,91.37,91.39,91.39,91.39,91.39,95.57,96.18,96.78,97.31,97.68,97.69,97.69,97.69,97.69,1.72,1.70,1.71,1.73,1.73,1.72,1.68,1.64,1.64,97.50,97.45,97.33,97.19,97.08,97.03,97.03,97.05,97.05,93.72,93.91,94.11,94.78,95.37,95.37,95.37,95.38,95.38
AND,Andorra,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARE,United Arab Emirates,99.64,99.64,99.63,99.63,99.63,99.63,99.63,99.63,99.63,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,1.07,1.04,1.01,0.98,0.95,0.92,0.90,0.87,0.87,98.45,98.44,98.43,98.41,98.40,98.40,98.41,98.43,98.43,99.35,99.35,99.35,99.34,99.34,99.34,99.34,99.34,99.34
ARG,Argentina,99.44,99.48,99.51,99.51,99.63,99.63,99.63,99.63,99.63,94.87,94.85,94.83,94.83,94.84,94.84,94.84,94.84,94.84,2.42,2.39,2.34,2.30,2.24,2.19,2.13,2.08,2.08,96.48,96.40,96.33,96.27,96.21,96.21,96.23,96.26,96.26,96.93,96.91,96.89,96.87,96.89,96.89,96.90,96.91,96.91
ARM,Armenia,97.64,97.77,97.72,97.67,98.46,98.92,98.92,98.92,98.92,91.21,91.28,91.35,91.42,91.50,91.58,91.58,91.58,91.58,2.87,2.90,2.92,2.92,2.90,2.84,2.77,2.69,2.69,95.84,95.63,95.43,95.25,95.11,95.08,95.10,95.16,95.16,94.89,94.89,94.83,94.78,95.02,95.19,95.20,95.22,95.22
ASM,American Samoa,99.11,99.17,99.23,99.23,99.23,99.23,99.23,99.23,99.23,62.30,62.27,62.23,62.23,62.23,62.23,62.23,62.23,62.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
